iter	Passed	Remaining
0	1	156
1	2	144
2	4	134
3	5	135
4	7	139
5	8	134
6	9	129
7	11	127
8	12	127
9	14	127
10	15	124
11	16	122
12	17	119
13	19	117
14	20	117
15	21	114
16	23	112
17	24	110
18	25	109
19	26	107
20	28	107
21	29	105
22	31	104
23	32	102
24	33	100
25	34	98
26	36	97
27	37	96
28	39	95
29	40	94
30	41	92
31	43	92
32	44	91
33	46	89
34	47	87
35	48	86
36	49	85
37	51	84
38	53	83
39	54	81
40	55	80
41	56	77
42	57	76
43	59	75
44	60	74
45	62	72
46	63	71
47	64	69
48	66	68
49	67	67
50	68	66
51	70	64
52	71	63
53	72	62
54	73	60
55	75	59
56	76	57
57	77	56
58	78	54
59	80	53
60	81	52
61	83	51
62	84	49
63	85	48
64	86	46
65	89	46
66	91	45
67	93	43
68	94	42
69	97	41
70	98	40
71	100	39
72	101	37
73	103	36
74	105	35
75	106	33
76	107	32
77	109	30
78	110	29
79	112	28
80	113	26
81	115	25
82	116	23
83	117	22
84	119	21
85	120	19
86	121	18
87	123	16
88	124	15
89	126	14
90	128	12
91	130	11
92	131	9
93	133	8
94	135	7
95	137	5
96	138	4
97	140	2
98	142	1
99	144	0
