iter	Passed	Remaining
0	119	119666
1	122	60905
2	126	42012
3	129	32143
4	131	26222
5	133	22174
6	136	19307
7	138	17161
8	143	15813
9	146	14536
10	149	13403
11	151	12479
12	155	11794
13	157	11082
14	159	10442
15	161	9933
16	164	9495
17	168	9169
18	169	8776
19	172	8472
20	175	8175
21	177	7895
22	179	7621
23	183	7445
24	184	7211
25	187	7019
26	189	6835
27	191	6650
28	193	6484
29	198	6419
30	200	6265
31	202	6128
32	205	6007
33	206	5880
34	208	5746
35	210	5628
36	212	5520
37	214	5423
38	215	5320
39	217	5225
40	219	5141
41	222	5078
42	225	5009
43	228	4961
44	232	4925
45	234	4859
46	236	4788
47	238	4724
48	240	4672
49	242	4606
50	245	4568
51	248	4523
52	249	4465
53	251	4409
54	253	4354
55	256	4315
56	257	4266
57	260	4227
58	262	4180
59	263	4128
60	265	4093
61	268	4066
62	270	4023
63	272	3978
64	274	3945
65	276	3907
66	277	3867
67	279	3833
68	282	3816
69	284	3784
70	287	3763
71	291	3758
72	293	3731
73	296	3708
74	298	3678
75	299	3645
76	301	3614
77	303	3586
78	305	3558
79	306	3528
80	308	3504
81	312	3495
82	313	3463
83	316	3447
84	318	3428
85	320	3404
86	322	3382
87	326	3380
88	328	3367
89	331	3350
90	333	3335
91	336	3319
92	338	3300
93	340	3283
94	342	3264
95	344	3243
96	345	3220
97	348	3208
98	350	3191
99	352	3172
100	354	3152
101	358	3152
102	360	3137
103	361	3117
104	364	3109
105	366	3091
106	368	3076
107	372	3079
108	376	3075
109	379	3070
110	381	3053
111	383	3038
112	387	3041
113	390	3034
114	391	3015
115	395	3014
116	397	2997
117	399	2986
118	402	2976
119	405	2971
120	407	2958
121	408	2943
122	410	2930
123	412	2916
124	414	2901
125	417	2894
126	418	2877
127	420	2864
128	422	2850
129	424	2841
130	427	2833
131	429	2821
132	434	2832
133	436	2819
134	438	2812
135	441	2801
136	443	2795
137	445	2781
138	448	2775
139	449	2763
140	451	2751
141	454	2744
142	456	2734
143	459	2729
144	462	2728
145	464	2718
146	467	2715
147	470	2709
148	473	2703
149	476	2697
150	479	2697
151	482	2691
152	486	2693
153	489	2689
154	491	2678
155	493	2671
156	495	2661
157	497	2651
158	500	2647
159	502	2637
160	503	2624
161	505	2615
162	508	2608
163	509	2599
164	512	2592
165	514	2585
166	517	2579
167	519	2574
168	524	2581
169	527	2576
170	530	2570
171	532	2562
172	534	2553
173	537	2552
174	540	2548
175	542	2540
176	544	2534
177	547	2526
178	549	2522
179	553	2521
180	555	2513
181	557	2504
182	559	2497
183	561	2491
184	563	2482
185	565	2474
186	567	2468
187	569	2461
188	571	2451
189	572	2441
190	574	2435
191	576	2426
192	578	2418
193	580	2410
194	582	2405
195	585	2401
196	586	2392
197	588	2383
198	590	2375
199	592	2370
200	594	2362
201	596	2355
202	598	2349
203	600	2344
204	602	2337
205	605	2334
206	608	2331
207	610	2324
208	612	2318
209	614	2311
210	616	2305
211	618	2298
212	620	2294
213	622	2287
214	624	2280
215	626	2273
216	628	2267
217	630	2261
218	632	2254
219	633	2247
220	635	2241
221	638	2237
222	640	2231
223	642	2227
224	644	2220
225	646	2214
226	648	2207
227	651	2204
228	652	2198
229	654	2191
230	655	2183
231	658	2179
232	660	2174
233	662	2167
234	663	2160
235	666	2157
236	668	2152
237	670	2146
238	674	2146
239	675	2140
240	678	2137
241	681	2135
242	683	2129
243	685	2122
244	687	2119
245	690	2117
246	692	2111
247	694	2105
248	697	2103
249	700	2102
250	703	2099
251	705	2094
252	707	2089
253	709	2083
254	712	2080
255	714	2076
256	717	2072
257	720	2072
258	722	2066
259	724	2063
260	728	2061
261	729	2055
262	733	2054
263	735	2050
264	737	2044
265	739	2039
266	741	2035
267	743	2031
268	746	2029
269	749	2025
270	751	2020
271	752	2015
272	755	2012
273	757	2007
274	759	2002
275	763	2002
276	765	1997
277	768	1994
278	770	1992
279	774	1991
280	777	1989
281	779	1984
282	781	1980
283	785	1980
284	787	1976
285	790	1973
286	793	1971
287	795	1965
288	797	1961
289	800	1959
290	801	1954
291	803	1948
292	805	1944
293	808	1941
294	810	1936
295	811	1930
296	814	1928
297	816	1923
298	819	1920
299	821	1916
300	824	1913
301	826	1910
302	829	1907
303	831	1904
304	833	1899
305	835	1895
306	838	1892
307	841	1890
308	842	1885
309	846	1883
310	848	1878
311	849	1873
312	852	1871
313	854	1866
314	855	1861
315	858	1857
316	861	1855
317	862	1850
318	865	1847
319	867	1844
320	870	1840
321	872	1836
322	874	1833
323	877	1830
324	878	1825
325	880	1821
326	883	1817
327	885	1813
328	887	1809
329	889	1806
330	891	1801
331	893	1797
332	895	1792
333	897	1790
334	899	1785
335	901	1781
336	903	1777
337	905	1773
338	908	1770
339	910	1767
340	912	1764
341	914	1760
342	916	1755
343	919	1754
344	921	1749
345	923	1745
346	926	1743
347	927	1738
348	929	1734
349	931	1729
350	934	1727
351	936	1724
352	939	1722
353	943	1721
354	945	1717
355	947	1713
356	949	1710
357	951	1706
358	953	1702
359	956	1699
360	958	1695
361	960	1691
362	962	1688
363	964	1685
364	966	1681
365	968	1677
366	970	1674
367	972	1670
368	974	1666
369	976	1663
370	979	1659
371	981	1656
372	983	1653
373	986	1651
374	988	1647
375	990	1643
376	993	1641
377	994	1637
378	996	1633
379	1000	1631
380	1002	1628
381	1004	1624
382	1008	1624
383	1010	1620
384	1013	1619
385	1016	1616
386	1018	1612
387	1019	1608
388	1024	1608
389	1026	1604
390	1027	1601
391	1030	1598
392	1032	1595
393	1035	1593
394	1039	1591
395	1040	1587
396	1042	1583
397	1044	1580
398	1047	1577
399	1050	1575
400	1051	1571
401	1054	1569
402	1057	1567
403	1060	1564
404	1062	1560
405	1064	1557
406	1066	1553
407	1069	1551
408	1071	1548
409	1073	1545
410	1075	1541
411	1077	1538
412	1080	1535
413	1081	1530
414	1085	1529
415	1087	1526
416	1089	1523
417	1091	1520
418	1093	1516
419	1095	1513
420	1099	1511
421	1100	1507
422	1102	1504
423	1104	1500
424	1106	1497
425	1108	1493
426	1110	1490
427	1112	1487
428	1115	1484
429	1116	1480
430	1118	1476
431	1121	1474
432	1123	1470
433	1124	1467
434	1126	1463
435	1129	1461
436	1131	1457
437	1133	1454
438	1134	1450
439	1137	1448
440	1140	1445
441	1143	1443
442	1146	1440
443	1149	1439
444	1153	1438
445	1155	1434
446	1156	1431
447	1159	1428
448	1162	1426
449	1164	1423
450	1167	1420
451	1169	1417
452	1171	1414
453	1173	1411
454	1175	1407
455	1177	1405
456	1179	1401
457	1182	1399
458	1184	1396
459	1186	1393
460	1188	1389
461	1191	1387
462	1193	1384
463	1205	1392
464	1209	1391
465	1214	1391
466	1216	1388
467	1219	1385
468	1222	1384
469	1226	1382
470	1231	1383
471	1235	1382
472	1239	1380
473	1243	1380
474	1246	1377
475	1250	1376
476	1252	1373
477	1254	1370
478	1258	1369
479	1261	1366
480	1263	1363
481	1266	1360
482	1268	1357
483	1271	1355
484	1276	1354
485	1278	1351
486	1280	1349
487	1283	1346
488	1285	1342
489	1287	1340
490	1289	1337
491	1291	1333
492	1293	1330
493	1296	1327
494	1298	1324
495	1299	1320
496	1301	1317
497	1303	1314
498	1305	1310
499	1307	1307
500	1310	1305
501	1313	1302
502	1317	1301
503	1319	1298
504	1322	1295
505	1324	1292
506	1328	1291
507	1330	1288
508	1335	1287
509	1336	1284
510	1338	1280
511	1341	1279
512	1344	1276
513	1347	1274
514	1350	1272
515	1352	1268
516	1354	1265
517	1357	1263
518	1359	1259
519	1360	1256
520	1363	1253
521	1366	1251
522	1367	1247
523	1369	1244
524	1372	1241
525	1374	1238
526	1376	1235
527	1378	1232
528	1380	1229
529	1382	1226
530	1384	1222
531	1387	1220
532	1390	1217
533	1391	1214
534	1394	1211
535	1395	1208
536	1398	1206
537	1401	1203
538	1403	1200
539	1405	1197
540	1406	1193
541	1409	1191
542	1411	1187
543	1413	1184
544	1416	1182
545	1418	1179
546	1419	1175
547	1421	1172
548	1424	1169
549	1426	1166
550	1428	1164
551	1431	1161
552	1433	1159
553	1435	1155
554	1438	1153
555	1440	1150
556	1443	1147
557	1446	1145
558	1448	1142
559	1451	1140
560	1453	1137
561	1455	1134
562	1457	1131
563	1459	1128
564	1461	1125
565	1463	1121
566	1465	1119
567	1467	1115
568	1470	1113
569	1472	1110
570	1474	1107
571	1478	1106
572	1480	1102
573	1483	1100
574	1485	1098
575	1489	1096
576	1493	1094
577	1495	1091
578	1497	1088
579	1499	1085
580	1501	1082
581	1503	1079
582	1507	1078
583	1509	1075
584	1511	1072
585	1513	1069
586	1516	1066
587	1518	1063
588	1520	1061
589	1523	1058
590	1525	1055
591	1526	1052
592	1528	1049
593	1530	1046
594	1532	1043
595	1534	1040
596	1538	1038
597	1541	1036
598	1544	1034
599	1547	1031
600	1550	1029
601	1552	1026
602	1554	1023
603	1556	1020
604	1557	1017
605	1561	1014
606	1562	1011
607	1564	1008
608	1566	1005
609	1568	1002
610	1571	1000
611	1573	997
612	1575	994
613	1577	991
614	1579	988
615	1581	985
616	1583	983
617	1586	980
618	1588	977
619	1590	974
620	1593	972
621	1595	969
622	1599	967
623	1603	965
624	1605	963
625	1607	960
626	1609	957
627	1612	954
628	1614	952
629	1616	949
630	1618	946
631	1621	944
632	1624	941
633	1626	938
634	1629	936
635	1631	933
636	1633	930
637	1636	928
638	1638	925
639	1640	922
640	1643	920
641	1645	917
642	1647	914
643	1649	911
644	1651	909
645	1653	906
646	1655	903
647	1658	900
648	1660	898
649	1662	895
650	1664	892
651	1667	889
652	1669	887
653	1671	884
654	1673	881
655	1675	878
656	1677	875
657	1680	873
658	1682	870
659	1684	867
660	1686	865
661	1689	862
662	1691	859
663	1693	856
664	1695	854
665	1698	851
666	1700	848
667	1702	846
668	1704	843
669	1707	840
670	1710	838
671	1712	835
672	1714	833
673	1716	830
674	1719	827
675	1720	824
676	1722	821
677	1725	819
678	1727	816
679	1729	813
680	1731	811
681	1734	808
682	1736	805
683	1738	803
684	1741	800
685	1743	797
686	1744	794
687	1748	792
688	1749	789
689	1752	787
690	1754	784
691	1757	782
692	1759	779
693	1761	776
694	1764	774
695	1766	771
696	1767	768
697	1770	766
698	1772	763
699	1774	760
700	1776	757
701	1778	755
702	1781	752
703	1783	749
704	1786	747
705	1788	744
706	1789	741
707	1792	739
708	1795	736
709	1797	733
710	1799	731
711	1801	728
712	1803	725
713	1805	723
714	1807	720
715	1809	717
716	1811	714
717	1815	713
718	1817	710
719	1819	707
720	1820	704
721	1823	701
722	1825	699
723	1827	696
724	1830	694
725	1832	691
726	1834	688
727	1837	686
728	1839	683
729	1841	681
730	1843	678
731	1845	675
732	1848	673
733	1849	670
734	1852	667
735	1853	664
736	1856	662
737	1858	659
738	1860	657
739	1863	654
740	1864	651
741	1867	649
742	1869	646
743	1871	643
744	1873	641
745	1876	638
746	1879	636
747	1881	634
748	1883	631
749	1886	628
750	1889	626
751	1891	623
752	1892	620
753	1894	618
754	1897	615
755	1899	613
756	1901	610
757	1904	608
758	1906	605
759	1909	602
760	1912	600
761	1914	597
762	1916	595
763	1918	592
764	1920	589
765	1923	587
766	1925	584
767	1928	582
768	1930	579
769	1932	577
770	1935	574
771	1937	572
772	1940	569
773	1943	567
774	1945	564
775	1948	562
776	1951	559
777	1953	557
778	1955	554
779	1959	552
780	1961	549
781	1963	547
782	1965	544
783	1968	542
784	1972	540
785	1975	537
786	1977	535
787	1980	532
788	1982	530
789	1984	527
790	1986	524
791	1988	522
792	1990	519
793	1992	516
794	1995	514
795	1997	511
796	2000	509
797	2003	507
798	2006	504
799	2007	501
800	2010	499
801	2012	496
802	2014	494
803	2018	492
804	2021	489
805	2024	487
806	2027	484
807	2029	482
808	2032	479
809	2035	477
810	2037	474
811	2041	472
812	2043	470
813	2046	467
814	2048	465
815	2050	462
816	2052	459
817	2054	457
818	2056	454
819	2058	451
820	2060	449
821	2062	446
822	2065	444
823	2067	441
824	2070	439
825	2072	436
826	2075	434
827	2077	431
828	2080	429
829	2081	426
830	2084	423
831	2087	421
832	2090	419
833	2093	416
834	2095	414
835	2097	411
836	2100	409
837	2102	406
838	2105	403
839	2107	401
840	2111	399
841	2114	396
842	2116	394
843	2118	391
844	2123	389
845	2125	386
846	2127	384
847	2130	381
848	2132	379
849	2134	376
850	2138	374
851	2140	371
852	2142	369
853	2145	366
854	2147	364
855	2149	361
856	2150	358
857	2153	356
858	2155	353
859	2157	351
860	2160	348
861	2161	346
862	2164	343
863	2168	341
864	2170	338
865	2172	336
866	2175	333
867	2178	331
868	2180	328
869	2183	326
870	2184	323
871	2187	321
872	2190	318
873	2192	316
874	2193	313
875	2195	310
876	2198	308
877	2201	305
878	2203	303
879	2206	300
880	2208	298
881	2211	295
882	2213	293
883	2216	290
884	2218	288
885	2220	285
886	2222	283
887	2223	280
888	2226	278
889	2228	275
890	2230	272
891	2233	270
892	2235	267
893	2237	265
894	2240	262
895	2243	260
896	2245	257
897	2248	255
898	2250	252
899	2252	250
900	2254	247
901	2256	245
902	2257	242
903	2259	239
904	2261	237
905	2263	234
906	2265	232
907	2267	229
908	2268	227
909	2271	224
910	2273	222
911	2275	219
912	2277	217
913	2279	214
914	2282	212
915	2285	209
916	2287	207
917	2289	204
918	2292	202
919	2293	199
920	2295	196
921	2297	194
922	2299	191
923	2301	189
924	2302	186
925	2304	184
926	2306	181
927	2308	179
928	2310	176
929	2312	174
930	2313	171
931	2316	168
932	2318	166
933	2320	163
934	2323	161
935	2325	158
936	2327	156
937	2330	154
938	2332	151
939	2334	149
940	2337	146
941	2338	144
942	2340	141
943	2343	138
944	2345	136
945	2347	134
946	2349	131
947	2351	128
948	2353	126
949	2355	123
950	2357	121
951	2361	119
952	2364	116
953	2366	114
954	2369	111
955	2371	109
956	2373	106
957	2375	104
958	2377	101
959	2379	99
960	2382	96
961	2384	94
962	2386	91
963	2389	89
964	2391	86
965	2393	84
966	2397	81
967	2399	79
968	2401	76
969	2403	74
970	2407	71
971	2409	69
972	2411	66
973	2414	64
974	2416	61
975	2419	59
976	2421	57
977	2423	54
978	2424	52
979	2427	49
980	2429	47
981	2431	44
982	2433	42
983	2435	39
984	2436	37
985	2438	34
986	2439	32
987	2441	29
988	2443	27
989	2444	24
990	2446	22
